,a2,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes,Other
0,"I've lived in the City of Edmonton my whole life and have never seen this level of ignorance and incompetence before. From unfinished projects to unexplained delays in construction, LRT, bridges, road construction and more. Graffiti needs to be dealt with. There is NO accountability to the taxpayer. Council is definitely not in touch with the residents. There have been many decisions made without consulting the residents yay are really affected. NO grass roots planning.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"There is a real lack of handling the homeless population who are in clear need of drug addiction programs, and psychiatric support. Since covid I have seen the homeless population sky rocket. It's an expensive city to live in.",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Overall quality of life in Edmonton is excellent, we cannot control the weather. The road system leaves a little to be desired, far too many potholes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,"Cost of living is expensive, minimum wage is not livable wage, grocery prices are expensive, crime downtown is going up as my car was broken into twice in the span of a month. Only saving grace is cost that it is less populated than other major cities so it is less crowded and traffic is more manageable",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,I have a good job and a great family and lots of friends to share good times with,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Urban life in Edmonton could be a lot better if city administration and council weren't being held hostage by wealthy developers and very wealthy business owners.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Decent city to live in, but crime and homelessness is higher now. Road construction and LRT seem to be taking longer than expected, etc.",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,It has evrything I need to lead a comfortable life and where I live everything I need is near by.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"While I appreciate Edmonton's expanding arts, culture and restaurant scenes, the city's failure to provide adequate social supports to assist with the drug poisoning epidemic and affordable housing crisis is particularly depressing.",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,"There is quite an increase in crime and vandalism over the past few years and little is done to take care of it. Also, city infrastructure is set up very poorly for people with disabilities to be able to access recreation and services",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"While there are social ills and other issues when it comes to income disparity, in general the quality of life is excellent and Edmonton offers some great services, opportunities etc. I love this city.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"I am retired with a decent pension and I collect CPP. I have money to cover my expenses, and most of the time I have some left over for what I want.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,I live in a wonderful community with all amenities close by. I know property taxes have to be raised to support the whole city. City council consider the whole of Edmonton when it considers capital development. The LRT needs to be made safer for more people to use this means of transportation. We have great festivals and year round activities.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,"Maybe I'm just lucky. I have a doctor, a home, a vehicle, friends and family here. Our prices are no worse than anywhere else. I don't agree with everything the city does - too much spent on bike lanes - but most things are okay.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14,"Apart from the never-ending construction, I have no complaints about my daily life.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
