,c1,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes
0,"Get councillors out in their constituencies and interact with the residents. Find out what the taxpayers want and need most. Find a better way to communicate with the mature population, they don't all have access to the internet and are not on twitter or social media.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Something has to give. We need more jobs for people who don't have a degree but could be trained and be a great asset. So more people can be working. We need lower rent so whatever you need to do like lower property tax or the like it's important as no one is making any money and everything costs so much. Drugs, please help the addicts and the homeless it is not a good look to have one if the richest areas of the ice district and Rogers place right next to hope mission where people are openly doing drugs, sleeping on the ground just destitute its so sad",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,"I would like to see better road maintainece, and much better enforcement of minor traffic violations - we have red light cameras, and speed monitoring, but there are many Edmontonians who do not have functional turn signals, or understand what the lines on the road mean - I have get nearly sideswiped at least twice a week, by somebody trying to avoid a pothole and making an abrupt lane change, or in an extreme case, turning right from the left lane - across my path. As important as red light cameras and speed monitoring are, I think that more attention needs to be paid to unsafe left turns, and staying within designated driving lanes.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"I've been stopped by homeless individuals multiple times on a night walk asking me to stay with them to call 211 or if I can accompany them part way because they did not feel safe walking to the location or the call would take upward 30 minutes just to connect so in the rare instance they have a phone, it loses charge to continue the call; as well, they did not feel safe having to be on their phone for that time waiting out at night just for the call to fail",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"The Valley line LRT system is a disaster and a waste of taxpayers money. No one should be allowed to be three years late with a project and not get fired. Your alder people are to young and don't know how to work together for the greater good of all Edmontonian Your administration gets paid to much (CEO of Epcor) and there are to many people doing the same job. I think a independent audit should be done of all administration positions that pay over $150,000 to see if they are earning their pay. Taxpayers should have more input just like this survey. I hope you make the feedback and results public.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,The City can't seem to make up it's mind whether it should have a single identity revolving around the downtown core or whether it can be a collection of small cohesive communities with all essential services available within each small community. Rejuvenating downtown at the expense of other residential communities is a huge mistake. Average people can cope with a minimal number of close contacts (approx 100) and forcing them to identify with and function in larger groups is counterproductive (and not very healthy for them).,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,"I find that the city too often rezones neighborhoods to allow for more people. For example, an area that is zoned for single dwelling houses gets rezoned for an apartment building, not taking the area's opinions into account. It feels like they are only looking for ways to collect more taxes and don't care about the existing families. The LRT is costing so much money and is taking so long, will it be worth it in the end? Homelessness is horrible right now. People are setting encampments up in neighborhoods making residents feel unsafe. Begging in intersections is unsafe and should be policed.",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,"Years ago they aproved West Edmonton Mall and it killed the down town Edmonton which has never come back, they aproved Rogers place which killed the all low cost housing in the old Boyle Street area. which I believe help create a lot of the homelessness we see today. The city planners should learn for this past blunders in the future so as not to repeat over again the same mistakes.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8,"I would appreciate it if the Edmonton would be better at scheduling regular pothole maintenance. I live in an older residential area, and our back alley was laden with potholes. When I phoned 311 to alert the City about the issue, I was told that the city would only fix our potholes if we got sufficient neighbor support and offered to pay for it ourselves. It seems a little ridiculous that even in a climate of rising property taxes, my fellow community members and I are still expected to pay for services that the city should be providing to residents.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,"The Mayor and current City Council seems very out of touch with what is currently happening in the city. If they spent more time in the community conversing with citizens and using inner-city infrastructure and transit, maybe their eyes would be opened as to how sad the current state of the city really is.  They can't continue to address the tent cities by chasing the inhabitants out of one area because the tents will just move into another area. The City needs to address what the root issues are causing these tent cities to start in the first place. Open your eyes and extricate your heads from your rectums!",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
