id,weight,a1,a2,a2_coded_1,a2_coded_2,a2_coded_3,a2_coded_4,a2_coded_5,a2_coded_6,a2_coded_7,a2_coded_8,a2_coded_9,a2_coded_10,a2_coded_11,a2_coded_12,a2_coded_13,a2_coded_14,a2_coded_15,a2_coded_16,a2_coded_17,a2_coded_18,a2_coded_19,a2_coded_20,a2_coded_21,a2_coded_22,a2_coded_23,a2_coded_24,a2_coded_25,a2_coded_26,a2_coded_27,a2_coded_28,a2_coded_29,a2_coded_30,a2_coded_31,a2_coded_32,a2_coded_33,a2_coded_34,a2_coded_35,a2_coded_36,a2_coded_37,a2_coded_38,a2_coded_39,a2_coded_40,a2_coded_41,a2_coded_42,a2_coded_43,a2_coded_44,a2_coded_45,a2_coded_46,a2_coded_47,a2_coded_48,a2_coded_49,a2_coded_50,a2_coded_51,a2_coded_52,a2_coded_53,a2_coded_54,a2_coded_55,a2_coded_56,a2_coded_57,a2_coded_58,a2_coded_59,a2_coded_60,a2_coded_61,a2_coded_62,a2_coded_63,All Neg,a2_coded_64,a2_coded_65,a2_coded_97,a2_coded_98,a2_coded_99,b1,b2,b2_coded_1,b2_coded_2,b2_coded_3,b2_coded_4,b2_coded_5,b2_coded_6,b2_coded_7,b2_coded_8,b2_coded_9,b2_coded_10,b2_coded_11,b2_coded_12,b2_coded_13,b2_coded_14,b2_coded_15,b2_coded_16,b2_coded_17,b2_coded_18,b2_coded_19,b2_coded_20,b2_coded_21,b2_coded_22,b2_coded_23,b2_coded_24,b2_coded_25,b2_coded_26,b2_coded_27,b2_coded_28,b2_coded_29,b2_coded_30,b2_coded_31,b2_coded_32,b2_coded_33,b2_coded_34,b2_coded_35,b2_coded_36,b2_coded_37,b2_coded_38,b2_coded_39,b2_coded_40,b2_coded_41,b2_coded_42,b2_coded_43,b2_coded_44,b2_coded_45,b2_coded_46,b2_coded_47,b2_coded_48,b2_coded_49,b2_coded_50,b2_coded_51,b2_coded_52,b2_coded_53,b2_coded_54,b2_coded_55,b2_coded_56,b2_coded_57,b2_coded_58,b2_coded_59,b2_coded_60,b2_coded_61,b2_coded_62,b2_coded_63,b2_coded_64,b2_coded_65,b2_coded_66,b2_coded_67,b2_coded_68,b2_coded_69,b2_coded_70,b2_coded_71,b2_coded_72,b2_coded_73,b2_coded_74,b2_coded_75,b2_coded_76,b2_coded_77,b2_coded_78,b2_coded_79,b2_coded_80,b2_coded_81,b2_coded_82,b2_coded_83,b2_coded_84,b2_coded_85,b2_coded_86,b2_coded_87,b2_coded_88,b2_coded_89,b2_coded_90,b2_coded_91,b2_coded_92,b2_coded_93,b2_coded_94,b2_coded_95,b2_coded_96,b2_coded_97,b2_coded_98,b2_coded_99,b2_coded_100,b2_coded_101,b2_coded_102,b2_coded_103,b2_coded_104,b2_coded_105,b2_coded_106,b2_coded_107,b2_coded_108,b2_coded_109,b2_coded_110,b2_coded_111,b2_coded_112,b2_coded_113,b2_coded_114,b2_coded_115,b2_coded_116,b2_coded_117,b2_coded_118,b2_coded_119,b2_coded_120,b2_coded_121,b2_coded_122,b2_coded_123,b2_coded_124,b2_coded_125,b2_coded_126,b2_coded_127,b2_coded_128,b2_coded_129,b2_coded_130,b2_coded_131,b2_coded_132,b2_coded_133,b2_coded_134,b2_coded_135,b2_coded_136,b2_coded_137,b2_coded_138,b2_coded_139,b2_coded_140,b2_coded_141,b2_coded_142,b2_coded_143,b2_coded_144,b2_coded_145,b2_coded_998,b2_coded_999,c1,c1_coded_1,c1_coded_2,c1_coded_3,c1_coded_4,c1_coded_5,c1_coded_6,c1_coded_7,c1_coded_8,c1_coded_9,c1_coded_10,c1_coded_11,c1_coded_12,c1_coded_13,c1_coded_14,c1_coded_15,c1_coded_16,c1_coded_17,c1_coded_18,c1_coded_19,c1_coded_20,c1_coded_21,c1_coded_22,c1_coded_23,c1_coded_24,c1_coded_25,c1_coded_26,c1_coded_27,c1_coded_28,c1_coded_29,c1_coded_30,c1_coded_31,c1_coded_32,c1_coded_33,c1_coded_34,c1_coded_35,c1_coded_36,c1_coded_37,c1_coded_38,c1_coded_39,c1_coded_40,c1_coded_41,c1_coded_42,c1_coded_43,c1_coded_44,c1_coded_45,c1_coded_46,c1_coded_47,c1_coded_48,c1_coded_49,c1_coded_50,c1_coded_51,c1_coded_52,c1_coded_53,c1_coded_54,c1_coded_55,c1_coded_56,c1_coded_57,c1_coded_58,c1_coded_59,c1_coded_60,c1_coded_61,c1_coded_62,c1_coded_63,c1_coded_64,c1_coded_65,c1_coded_97,c1_coded_98,c1_coded_99
4527,0.695731,5,"I've lived in the City of Edmonton my whole life and have never seen this level of ignorance and incompetence before. From unfinished projects to unexplained delays in construction, LRT, bridges, road construction and more. Graffiti needs to be dealt with. There is NO accountability to the taxpayer. Council is definitely not in touch with the residents. There have been many decisions made without consulting the residents yay are really affected. NO grass roots planning.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,3,As the population in Edmonton has matured our council has lost touch with our what ours seniors need. They paid taxes for many years and made this ciyu what is today and I feel we've turned our back on them and their opinions don't matter. Council only listens to the vocal minority.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Get councillors out in their constituencies and interact with the residents. Find out what the taxpayers want and need most. Find a better way to communicate with the mature population, they don't all have access to the internet and are not on twitter or social media.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8915,0.368785,5,"There is a real lack of handling the homeless population who are in clear need of drug addiction programs, and psychiatric support. Since covid I have seen the homeless population sky rocket. It's an expensive city to live in.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,"I personally had to wait over 14 months to receive a place at SACE and missed it because my mental health has deteriorated I couldn't even make it to the appointments. Point being, especially after covid, mental health has to become a priority or there will be more decline into addiction and poverty.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Something has to give. We need more jobs for people who don't have a degree but could be trained and be a great asset. So more people can be working. We need lower rent so whatever you need to do like lower property tax or the like it's important as no one is making any money and everything costs so much. Drugs, please help the addicts and the homeless it is not a good look to have one if the richest areas of the ice district and Rogers place right next to hope mission where people are openly doing drugs, sleeping on the ground just destitute its so sad",0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7105,0.483611,3,"Overall quality of life in Edmonton is excellent, we cannot control the weather. The road system leaves a little to be desired, far too many potholes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,5,"There is lots to do in Edmonton, the park system and river valley are fantastic. we have first rate facilities like Rogers Place, EAG, the Winspear, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I would like to see better road maintainece, and much better enforcement of minor traffic violations - we have red light cameras, and speed monitoring, but there are many Edmontonians who do not have functional turn signals, or understand what the lines on the road mean - I have get nearly sideswiped at least twice a week, by somebody trying to avoid a pothole and making an abrupt lane change, or in an extreme case, turning right from the left lane - across my path. As important as red light cameras and speed monitoring are, I think that more attention needs to be paid to unsafe left turns, and staying within designated driving lanes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5263,0.547754,4,"Cost of living is expensive, minimum wage is not livable wage, grocery prices are expensive, crime downtown is going up as my car was broken into twice in the span of a month. Only saving grace is cost that it is less populated than other major cities so it is less crowded and traffic is more manageable",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,they do what they are intended but sometimes its so difficult to get service and ive known someone who even was directed to a mental health service in Calgary because the Edmonton location was not taking in clients for the next six months,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I've been stopped by homeless individuals multiple times on a night walk asking me to stay with them to call 211 or if I can accompany them part way because they did not feel safe walking to the location or the call would take upward 30 minutes just to connect so in the rare instance they have a phone, it loses charge to continue the call; as well, they did not feel safe having to be on their phone for that time waiting out at night just for the call to fail",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,2.925689,2,I have a good job and a great family and lots of friends to share good times with,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,I don't think our transit system is safe and there fore I would never take it downtown to attend an event even though I will drive there to watch a concert or Oilers game Downtown development is a waste of money until we have a sloution to help the homeless that actually works.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Valley line LRT system is a disaster and a waste of taxpayers money. No one should be allowed to be three years late with a project and not get fired. Your alder people are to young and don't know how to work together for the greater good of all Edmontonian Your administration gets paid to much (CEO of Epcor) and there are to many people doing the same job. I think a independent audit should be done of all administration positions that pay over $150,000 to see if they are earning their pay. Taxpayers should have more input just like this survey. I hope you make the feedback and results public.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5925,1.261969,3,Urban life in Edmonton could be a lot better if city administration and council weren't being held hostage by wealthy developers and very wealthy business owners.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Programs are becoming very expensive and also not typically available locally, so one has to travel to the far reaches of the City to access them instead of having those programs and activities near home.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,The City can't seem to make up it's mind whether it should have a single identity revolving around the downtown core or whether it can be a collection of small cohesive communities with all essential services available within each small community. Rejuvenating downtown at the expense of other residential communities is a huge mistake. Average people can cope with a minimal number of close contacts (approx 100) and forcing them to identify with and function in larger groups is counterproductive (and not very healthy for them).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7279,1.373545,2,"Decent city to live in, but crime and homelessness is higher now. Road construction and LRT seem to be taking longer than expected, etc.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,3,What I have seen has met but not exceeded my expectations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"I find that the city too often rezones neighborhoods to allow for more people. For example, an area that is zoned for single dwelling houses gets rezoned for an apartment building, not taking the area's opinions into account. It feels like they are only looking for ways to collect more taxes and don't care about the existing families. The LRT is costing so much money and is taking so long, will it be worth it in the end? Homelessness is horrible right now. People are setting encampments up in neighborhoods making residents feel unsafe. Begging in intersections is unsafe and should be policed.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6979,1.668869,2,It has evrything I need to lead a comfortable life and where I live everything I need is near by.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"I'm not very good at thia technical stuff and I do have apps so sometimes in is very hard to find out what is going on, there used to be free papers telling and listing all activitys but they have gone the Edmonton journal does a bit of a list but not like before.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Years ago they aproved West Edmonton Mall and it killed the down town Edmonton which has never come back, they aproved Rogers place which killed the all low cost housing in the old Boyle Street area. which I believe help create a lot of the homelessness we see today. The city planners should learn for this past blunders in the future so as not to repeat over again the same mistakes.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8977,0.819841,4,"While I appreciate Edmonton's expanding arts, culture and restaurant scenes, the city's failure to provide adequate social supports to assist with the drug poisoning epidemic and affordable housing crisis is particularly depressing.",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,I regularly use city of edmonton recreation centers and am really impressed with the amenity quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I would appreciate it if the Edmonton would be better at scheduling regular pothole maintenance. I live in an older residential area, and our back alley was laden with potholes. When I phoned 311 to alert the City about the issue, I was told that the city would only fix our potholes if we got sufficient neighbor support and offered to pay for it ourselves. It seems a little ridiculous that even in a climate of rising property taxes, my fellow community members and I are still expected to pay for services that the city should be providing to residents.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3537,1.234301,3,"There is quite an increase in crime and vandalism over the past few years and little is done to take care of it. Also, city infrastructure is set up very poorly for people with disabilities to be able to access recreation and services",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,"As mentioned earlier, Edmonton does very little to ensure that their facilities and events are inclusive to all citizens of all abilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"The Mayor and current City Council seems very out of touch with what is currently happening in the city. If they spent more time in the community conversing with citizens and using inner-city infrastructure and transit, maybe their eyes would be opened as to how sad the current state of the city really is.  They can't continue to address the tent cities by chasing the inhabitants out of one area because the tents will just move into another area. The City needs to address what the root issues are causing these tent cities to start in the first place. Open your eyes and extricate your heads from your rectums!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
