id,1,Unique identifier,Scale,8,Right,F9.2,F9.2,"-7.00, -8.00, -9.00",,
a2_coded_1,19,a2_coded_1 -- Cost of living - Low/affordable : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_2,20,a2_coded_2 -- Cost of living - High/unaffordable : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_3,21,a2_coded_3 -- Housing cost - Low/affordable : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_4,22,a2_coded_4 -- Housing cost - High/unaffordable : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_5,23,a2_coded_5 -- Housing - Availability : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_6,24,a2_coded_6 -- Housing - Lack of/unavailabie : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_7,25,a2_coded_7 -- Homelessness - Low/not an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_8,26,a2_coded_8 -- Homelessness - High/an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_9,27,a2_coded_9 -- Crime - Low/not an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_10,28,a2_coded_10 -- Crime - High/an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_11,29,a2_coded_11 -- Drugs and addiction - Low/not an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_12,30,a2_coded_12 -- Drugs and addiction - High/an issue : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_13,31,a2_coded_13 -- Jobs and employment - Have job/opportunities : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_14,32,a2_coded_14 -- Jobs and employment - No job/opportunities : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_15,33,a2_coded_15 -- Parks and green spaces - Good/have many : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_16,34,a2_coded_16 -- Parks and green spaces - Poor/not enough : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_17,35,a2_coded_17 -- Transit - Good/convenient/safe/low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_18,36,a2_coded_18 -- Transit - Poor/inconvenient/not safe/high cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_19,37,a2_coded_19 -- Walkability - Easy to get around/places close by : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_20,38,a2_coded_20 -- Walkability - Difficult to get around/places far apart : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_21,39,a2_coded_21 -- Safety - Feel safe : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_22,40,a2_coded_22 -- Safety - Do not feel safe : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_23,41,a2_coded_23 -- Downtown - Good/Safe/Vibrant/General positive comments : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
