Date,ON-LINE HYDROGEN BLOWER (COMMENTS)__mean_20,ON-LINE HYDROGEN BLOWER (COMMENTS)__std_20,ON-LINE HYDROGEN BLOWER (COMMENTS)__min_20,ON-LINE HYDROGEN BLOWER (COMMENTS)__max_20,ACTIVATION HYDROGEN FLOW F230__mean_20,ACTIVATION HYDROGEN FLOW F230__std_20,ACTIVATION HYDROGEN FLOW F230__min_20,ACTIVATION HYDROGEN FLOW F230__max_20,ACTIVATOR 2 SO2  FLOW (m3/hr)__mean_20,ACTIVATOR 2 SO2  FLOW (m3/hr)__std_20,ACTIVATOR 2 SO2  FLOW (m3/hr)__min_20,ACTIVATOR 2 SO2  FLOW (m3/hr)__max_20,VOLATILISER 2 CO  FLOW  ( m3 / hr )__mean_20,VOLATILISER 2 CO  FLOW  ( m3 / hr )__std_20,VOLATILISER 2 CO  FLOW  ( m3 / hr )__min_20,VOLATILISER 2 CO  FLOW  ( m3 / hr )__max_20,REDUCER 2 TEMPS ( oC ) INLET GAS__mean_20,REDUCER 2 TEMPS ( oC ) INLET GAS__std_20,REDUCER 2 TEMPS ( oC ) INLET GAS__min_20,REDUCER 2 TEMPS ( oC ) INLET GAS__max_20,NICKEL SULPHATE ADDITION NICKEL  SULPHATE  RATIO__mean_20,NICKEL SULPHATE ADDITION NICKEL  SULPHATE  RATIO__std_20,NICKEL SULPHATE ADDITION NICKEL  SULPHATE  RATIO__min_20,NICKEL SULPHATE ADDITION NICKEL  SULPHATE  RATIO__max_20,ON-LINE HYDROGEN BLOWER (COMMENTS),ACTIVATION HYDROGEN FLOW F230,ACTIVATOR 2 SO2  FLOW (m3/hr),NICKEL SULPHATE ADDITION NICKEL  SULPHATE  RATIO,REDUCER 2 TEMPS ( oC ) INLET GAS,VOLATILISER 2 CO  FLOW  ( m3 / hr ),REDUCER 2 FEED  RATE  ( Kg / HR ),REDUCER 2 ACTUAL  FEED  ( Kg ),target
2017-11-23,6465.2,337.14054542343735,5776.0,6852.0,200.0,0.0,200.0,200.0,20.25,5.888213025322671,16.0,29.5,9388.6,1041.8371627486815,6453.0,10534.0,531.3,11.639768491097184,511.0,545.0,25.378311523,0.6801794944144773,24.28832335,27.70849057,6827.0,200.0,17.0,27.70849057,533.0,10534.0,3800.0,91293.0,85.1
2017-11-24,6478.85,345.4541290289498,5776.0,6852.0,200.0,0.0,200.0,200.0,20.3,5.854373084329947,16.0,29.5,9412.1,1062.9833835409763,6453.0,10535.0,530.95,11.468377575339428,511.0,545.0,25.7457317495,1.7479541346885044,24.28832335,32.5880597,6806.0,200.0,17.0,32.5880597,533.0,10535.0,3800.0,90016.0,87.1
2017-11-25,6487.3,351.00773720666075,5776.0,6852.0,200.0,0.0,200.0,200.0,20.35,5.819884245548151,16.0,29.5,9431.0,1077.0480124175722,6453.0,10535.0,530.6,11.28296340319845,511.0,545.0,25.7446282775,1.7482962572234946,24.28832335,32.5880597,6785.0,200.0,17.0,25.21925287,533.0,10367.0,3800.0,91243.0,89.4
2017-11-26,6496.5,357.4352352083022,5776.0,6852.0,200.0,0.0,200.0,200.0,20.4,5.784734902719179,16.0,29.5,9456.55,1096.0019916904737,6453.0,10535.0,530.25,11.082822175260267,511.0,545.0,25.8730996625,1.8781085058223341,24.28832335,32.5880597,6819.0,200.0,17.0,28.83409836,533.0,10465.0,3800.0,90994.0,89.1
2017-11-27,6520.05,363.63884266498707,5776.0,6852.0,200.0,0.0,200.0,200.0,20.45,5.7489129407219774,16.0,29.5,9487.6,1117.1624487253928,6453.0,10535.0,529.65,10.554495176040884,511.0,544.0,25.877340349999997,1.8763223228604837,24.28832335,32.5880597,6834.0,200.0,17.0,25.16647564,533.0,10499.0,3800.0,91321.0,88.7
2017-11-28,6563.55,367.4219537606043,5776.0,7007.0,200.0,0.0,200.0,200.0,20.5,5.712405705774848,16.0,29.5,9506.6,1127.9928797834302,6453.0,10535.0,529.2,10.092206477226053,511.0,544.0,26.038806425500002,1.959415709434124,24.28832335,32.5880597,7007.0,200.0,17.0,28.51035599,535.0,10295.0,3800.0,91187.0,88.2
2017-11-29,6617.65,322.2379433047297,5790.0,7007.0,200.0,0.0,200.0,200.0,20.55,5.675199973291049,16.0,29.5,9533.1,1147.7311669458827,6453.0,10590.0,529.15,10.022474744294245,511.0,544.0,26.005951192500003,1.9810219901404864,24.28832335,32.5880597,6858.0,200.0,17.0,24.46295265,542.0,10590.0,3800.0,91412.0,87.3
2017-11-30,6679.5,269.40118782218076,6088.0,7027.0,200.0,0.0,200.0,200.0,20.6,5.637281913158296,16.0,29.5,9573.1,1170.863149898178,6453.0,10590.0,528.9,9.689386488644724,511.0,542.0,26.048516121,1.9700258437267366,24.28832335,32.5880597,7027.0,200.0,17.0,25.96804734,539.0,10590.0,3800.0,91152.0,88.4
2017-12-01,6674.7,267.0105655311505,6088.0,7027.0,200.0,0.0,200.0,200.0,20.55,5.665918423252137,16.0,29.5,9784.15,935.6563851396722,7046.0,10674.0,529.65,9.788688423514627,511.0,542.0,26.047731202,1.9703517907187096,24.28832335,32.5880597,6756.0,200.0,17.0,25.26303725,538.0,10674.0,3800.0,91658.0,89.3
2017-12-02,6700.4,258.0926802118771,6088.0,7027.0,200.0,0.0,200.0,200.0,19.95,5.350602523867913,16.0,29.5,9963.0,695.8547186544685,8028.0,10674.0,530.85,9.22396763585986,511.0,542.0,26.063498730499997,1.9633087566415122,24.28832335,32.5880597,6858.0,200.0,17.0,25.37867435,538.0,10623.0,3800.0,91534.0,88.3
2017-12-03,6723.45,239.2187888677902,6088.0,7027.0,200.0,0.0,200.0,200.0,19.325,4.886272392605378,16.0,29.5,10094.2,542.2317042119867,8946.0,10674.0,532.0,8.117557319916553,511.0,542.0,26.0705331145,1.9598027957096713,24.28832335,32.5880597,6749.0,200.0,17.0,25.20859599,535.0,10652.0,3800.0,91468.0,89.1
2017-12-04,6763.8,191.46213037681085,6088.0,7027.0,200.0,0.0,200.0,200.0,18.75,4.262751767529938,16.0,29.5,10174.3,478.239105579276,9350.0,10674.0,533.3,6.497772897817283,512.0,542.0,26.125524622500002,1.9461631241407018,24.28832335,32.5880597,6905.0,200.0,18.0,26.18776119,537.0,10548.0,3800.0,91079.0,87.5
2017-12-05,6798.55,106.62500694148001,6559.0,7027.0,200.0,0.0,200.0,200.0,18.175,3.430800888545238,16.0,29.5,10227.55,439.3353203240237,9381.0,10674.0,534.3,4.168806468097805,522.0,542.0,26.213852765000002,1.9332035906162923,24.28832335,32.5880597,6783.0,200.0,18.0,26.7826087,532.0,10415.0,3800.0,89460.0,87.2
2017-12-06,6809.25,90.89836719052083,6667.0,7027.0,200.0,0.0,200.0,200.0,17.6,2.161870535098489,16.0,26.0,10260.8,424.03805688194075,9381.0,10674.0,534.85,3.0309803868217244,532.0,542.0,26.139559638999998,1.9692195530571557,24.28832335,32.5880597,6773.0,200.0,18.0,24.5351585,533.0,10388.0,3800.0,88607.0,88.1
2017-12-07,6777.4,185.47588863020542,6085.0,7027.0,200.0,0.0,200.0,200.0,17.1,0.9119095061293926,16.0,20.0,10307.55,392.74773944875363,9381.0,10674.0,535.1,2.9894551519129386,532.0,542.0,26.451751080499996,2.2843461640695693,24.28832335,32.5880597,6085.0,200.0,16.0,31.45700935,537.0,10492.0,3800.0,69458.0,87.7
