NumberCode,LongTitle,StatusName,LatestCompletedMajorStageNameWithChamberSuffix,SessionNumber,BillDocumentTypeName,IsGovernmentBill,IsHouseBill,IsSenateBill,SponsorPersonName,LatestBillEventNumberOfAmendments,PassedFirstChamberFirstReading,PassedFirstChamberSecondReading,PassedFirstChamberThirdReading,PassedSecondChamberFirstReading,PassedSecondChamberSecondReading,PassedSecondChamberThirdReading,ReceivedRoyalAssent,IsSessionOngoing
S-1,An Act relating to railways,Introduced as pro forma bill,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-2,An Act to amend the Parliament of Canada Act and to make consequential and related amendments to other Acts,Senate bill awaiting first reading in the House of Commons,Third reading in the Senate,1,Senate Government Bill,False,False,True, ,0,True,True,True,False,False,False,False,True
S-3,An Act to amend the Judges Act,Bill not proceeded with,First reading in the Senate,1,Senate Government Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-4,An Act to amend the Criminal Code and the Identification of Criminals Act and to make related amendments to other Acts (COVID-19 response and other measures),Royal assent received,Royal assent,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-5,"An Act to amend the Canadian Environmental Protection Act, 1999, to make related amendments to the Food and Drugs Act and to repeal the Perfluorooctane Sulfonate Virtual Elimination Act",Royal assent received,Royal assent,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-6,An Act respecting regulatory modernization,At second reading in the House of Commons,First reading in the House of Commons,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-7,"An Act to amend the Customs Act and the Preclearance Act, 2016",At second reading in the House of Commons,First reading in the House of Commons,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-8,"An Act to amend the Immigration and Refugee Protection Act, to make consequential amendments to other Acts and to amend the Immigration and Refugee Protection Regulations",Royal assent received,Royal assent,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-9,An Act to amend the Chemical Weapons Convention Implementation Act,At second reading in the House of Commons,First reading in the House of Commons,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-10,"An Act to give effect to the Anishinabek Nation Governance Agreement, to amend the Sechelt Indian Band Self-Government Act and the Yukon First Nations Self-Government Act and to make related and consequential amendments to other Acts",Royal assent received,Royal assent,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-11,A fourth Act to harmonize federal law with the civil law of Quebec and to amend certain Acts in order to ensure that each language version takes into account the common law and the civil law,At second reading in the House of Commons,First reading in the House of Commons,1,Senate Government Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-12,"An Act to amend the Criminal Code, the Sex Offender Information Registration Act and the International Transfer of Offenders Act",Senate bill awaiting first reading in the House of Commons,Third reading in the Senate,1,Senate Government Bill,False,False,True, ,0,True,True,True,False,False,False,False,True
S-13,An Act to amend the Interpretation Act and to make related amendments to other Acts,At second reading in the Senate,First reading in the Senate,1,Senate Government Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-201,An Act to amend the Canada Elections Act and the Regulation Adapting the Canada Elections Act for the Purposes of a Referendum (voting age),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-202,An Act to amend the Parliament of Canada Act (Parliamentary Visual Artist Laureate),At consideration in committee in the House of Commons,Second reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,False,False,True
S-203,An Act respecting a federal framework on autism spectrum disorder,Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-204,An Act to amend the Customs Tariff (goods from Xinjiang),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-205,An Act to amend the Criminal Code and to make consequential amendments to another Act (interim release and domestic violence recognizance orders),At second reading in the House of Commons,First reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-206,An Act to amend the Criminal Code (disclosure of information by jurors),Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
